,QA,ANS,TAG
2432,which movies are about [edinburgh],Trainspotting,has_tags_inv
2433,what films are about [mst3k],The Giant Spider Invasion,has_tags_inv
2434,what films are about [miami],Scarface|Up in the Air|Bad Boys II|Transporter 2|Chef|Miami Vice|Step Up Revolution,has_tags_inv
2435,which films can be described by [h. bruce humberstone],Wonder Man|Charlie Chan in Honolulu|If I Had a Million,has_tags_inv
2436,what films are about [stephen chow],Kung Fu Hustle|Shaolin Soccer|CJ7|The God of Cookery|King of Comedy|From Beijing with Love|Forbidden City Cop,has_tags_inv
2437,what films can be described by [veronica lake],Sullivan's Travels|I Married a Witch|The Glass Key,has_tags_inv
2438,what films are about [alan tudyk],"I, Robot|A Knight's Tale",has_tags_inv
2439,what movies are about [boss],The Boss of It All,has_tags_inv
2440,which movies can be described by [michael stuhlbarg],A Serious Man,has_tags_inv
2441,what movies can be described by [bobcat goldthwait],God Bless America|World's Greatest Dad|Shakes the Clown|Sleeping Dogs Lie,has_tags_inv
2442,which movies can be described by [christian bale],The Dark Knight|The Dark Knight Rises|Batman Begins|The Prestige|American Psycho|American Hustle|Terminator Salvation|The Machinist|The Fighter|Equilibrium|Public Enemies|Reign of Fire|Empire of the Sun|Rescue Dawn|Out of the Furnace|The New World|Shaft|Harsh Times|The Flowers of War|Newsies|Laurel Canyon|Metroland|All the Little Animals,has_tags_inv
2443,which movies are about [roger daltrey],Tommy|Lisztomania,has_tags_inv
2444,what films can be described by [oakland],Moneyball,has_tags_inv
2445,what films can be described by [invasion],Independence Day|Red Dawn|The Battle of China,has_tags_inv
2446,which movies are about [santa claus],Rise of the Guardians|The Santa Clause|Miracle on 34th Street|Santa's Slay,has_tags_inv
2447,what movies can be described with [surfing],Point Break|Surf's Up|Blue Crush|Riding Giants|The Endless Summer|Gidget,has_tags_inv
2448,which films can be described by [clive owen],Sin City|The Bourne Identity|Children of Men|Inside Man|Closer|King Arthur|Shoot 'Em Up|Killer Elite|Gosford Park|Derailed|Duplicity|Trust|Croupier|The Boys Are Back,has_tags_inv
2449,which movies can be described by [tesla],The Prestige,has_tags_inv
2450,what movies can be described with [serious],Batman,has_tags_inv
2451,which films can be described by [chris farley],Wayne's World|Tommy Boy|Beverly Hills Ninja|Black Sheep|Almost Heroes,has_tags_inv
2452,what films can be described by [eminem],8 Mile|The Wash,has_tags_inv
2453,what movies are about [michael mckean],Whatever Works|Clue|A Mighty Wind,has_tags_inv
2454,what films are about [postmodern],"Synecdoche, New York",has_tags_inv
2455,what films are about [irving cummings],Curly Top|Poor Little Rich Girl|Little Miss Broadway|Just Around the Corner,has_tags_inv
2456,which films are about [karaoke],Duets,has_tags_inv
2457,what movies can be described with [oliver parker],Johnny English Reborn|The Importance of Being Earnest|An Ideal Husband|Othello,has_tags_inv
2458,which films are about [pittsburgh],The Next Three Days|She's Out of My League|Wonder Boys|The Mysteries of Pittsburgh,has_tags_inv
2459,which films are about [lottery],It Could Happen to You|All About the Benjamins,has_tags_inv
2460,what movies can be described with [romanian],Beyond the Hills,has_tags_inv
2461,what movies can be described with [psychopaths],Seven Psychopaths,has_tags_inv
2462,what films can be described by [akira kurosawa],Seven Samurai|Rashomon|Ran|Yojimbo|Last Man Standing|Ikiru|Throne of Blood|Kagemusha|The Hidden Fortress|Sanjuro|Dreams|Dersu Uzala|High and Low|Red Beard|Stray Dog|The Bad Sleep Well|Drunken Angel|Rhapsody in August|Dodes'ka-den|Madadayo|Sanshiro Sugata|No Regrets for Our Youth|The Quiet Duel|One Wonderful Sunday,has_tags_inv
2463,what movies are about [benedict cumberbatch],Star Trek Into Darkness|The Imitation Game|Tinker Tailor Soldier Spy|War Horse|Third Star|Wreckers,has_tags_inv
2464,which movies are about [ryan phillippe],I Know What You Did Last Summer|MacGruber|Igby Goes Down|The Way of the Gun|Antitrust,has_tags_inv
2465,what movies are about [pierre morel],Taken,has_tags_inv
2466,what films can be described by [fallen angel],Gabriel,has_tags_inv
2467,which films are about [valeria golino],Rain Man|Big Top Pee-wee,has_tags_inv
2468,what films can be described by [peter lorre],The Maltese Falcon|M|The Man Who Knew Too Much|The Raven|Voyage to the Bottom of the Sea|The Comedy of Terrors|Mad Love|Mr. Moto's Last Warning|Der Verlorene,has_tags_inv
2469,which movies can be described by [girl],Kiki's Delivery Service,has_tags_inv
2470,which films can be described by [old tucson studios],The Quick and the Dead|Rio Bravo,has_tags_inv
2471,what films are about [orson welles],"Citizen Kane|The Third Man|Touch of Evil|The Lady from Shanghai|The Magnificent Ambersons|The Stranger|The Trial|Me and Orson Welles|F for Fake|The Long, Hot Summer|Jane Eyre|Waterloo|Othello|Chimes at Midnight|Macbeth|Compulsion|The Immortal Story|The Man Who Saw Tomorrow|Butterfly|I'll Never Forget What's'isname|It's All True",has_tags_inv
2472,what films are about [felicity huffman],Georgia Rule,has_tags_inv
2473,what movies can be described by [leo mccarey],Duck Soup|An Affair to Remember|The Awful Truth|Going My Way|The Bells of St. Mary's|Make Way for Tomorrow|Love Affair|Ruggles of Red Gap,has_tags_inv
2474,which movies are about [katie holmes],Batman Begins|Phone Booth|Thank You for Smoking|Go|The Gift|Mad Money|First Daughter|Abandon,has_tags_inv
2475,which films are about [whodunit],Murder by Death,has_tags_inv
2476,which films can be described by [pauly shore],Encino Man|Bio-Dome|Son in Law|In the Army Now|Adopted,has_tags_inv
2477,what films can be described by [amy smart],The Butterfly Effect|Crank|Rat Race|Just Friends,has_tags_inv
2478,which movies are about [john c. reilly],Wreck-It Ralph|Magnolia|Step Brothers|Chicago|The Perfect Storm|9|Never Been Kissed|Dark Water|The Good Girl|Cyrus|Tim and Eric's Billion Dollar Movie,has_tags_inv
2479,which movies are about [complex],The Usual Suspects|Ghost in the Shell|Primer,has_tags_inv
2480,what movies are about [california],Iron Man|There Will Be Blood|Little Miss Sunshine|Easy A|Vertigo|Encino Man|King of California|Who Killed the Electric Car?|Bottle Shock,has_tags_inv
2481,which films can be described by [drinking],Drinking Buddies,has_tags_inv
2482,what movies are about [jake johnson],Drinking Buddies,has_tags_inv
2483,which films can be described by [peter weller],RoboCop|RoboCop 2,has_tags_inv
2484,what movies can be described by [mysterious],The Ring,has_tags_inv
2485,which movies are about [steve buscemi],"Reservoir Dogs|Monsters, Inc.|The Big Lebowski|Fargo|Armageddon|Mr. Deeds|Youth in Revolt|The Messenger|Igor|Mystery Train|Living in Oblivion|Interview|Trees Lounge|Delirious",has_tags_inv
2486,what movies can be described with [concentration camp],The Counterfeiters|The Hiding Place,has_tags_inv
2487,what films can be described by [cartoon],Who Framed Roger Rabbit|Scooby-Doo|The Cat Came Back|The Big Snit,has_tags_inv
2488,what movies can be described with [robert sean leonard],Much Ado About Nothing,has_tags_inv
2489,which movies can be described by [flashbacks],Jacob's Ladder,has_tags_inv
2490,what movies are about [harrison ford],Raiders of the Lost Ark|Indiana Jones and the Last Crusade|Blade Runner|Indiana Jones and the Kingdom of the Crystal Skull|The Fugitive|Ender's Game|Air Force One|What Lies Beneath|Patriot Games|The Conversation|Clear and Present Danger|Witness|42|American Graffiti|Six Days Seven Nights|Morning Glory|Firewall|The Devil's Own|Working Girl|Frantic|Hollywood Homicide|Sabrina|Presumed Innocent|Regarding Henry|The Mosquito Coast|Random Hearts|Extraordinary Measures,has_tags_inv
2491,what movies are about [daniel petrie],Resurrection,has_tags_inv
2492,which movies can be described by [alexander payne],"The Descendants|Sideways|About Schmidt|Nebraska|Election|Paris, je t'aime|Citizen Ruth",has_tags_inv
2493,what films can be described by [errol flynn],"The Adventures of Robin Hood|Captain Blood|The Sea Hawk|They Died with Their Boots On|The Private Lives of Elizabeth and Essex|Objective, Burma!|Santa Fe Trail|The Prince and the Pauper",has_tags_inv
2494,which movies are about [hulk hogan],Rocky III|No Holds Barred,has_tags_inv
2495,what movies can be described by [sudan],God Grew Tired of Us|The Devil Came on Horseback,has_tags_inv
2496,what films can be described by [claude lelouch],"A Man and a Woman|Les Misérables|L'aventure, c'est l'aventure|Happy New Year|And Now My Love",has_tags_inv
2497,what films are about [stephen frears],High Fidelity|The Queen|Philomena|Dangerous Liaisons|Dirty Pretty Things|The Grifters|Hero|Mrs Henderson Presents|My Beautiful Laundrette|The Snapper|The Hit|Prick Up Your Ears|Muhammad Ali's Greatest Fight|Sammy and Rosie Get Laid,has_tags_inv
2498,which movies are about [claude miller],A Secret|Deadly Circuit|Alias Betty|The Little Thief,has_tags_inv
2499,which films can be described by [facebook],The Social Network,has_tags_inv
2500,what films are about [isla fisher],"Now You See Me|Definitely, Maybe|Confessions of a Shopaholic|Hot Rod|The Lookout",has_tags_inv
2501,what movies can be described with [tiger],The Hangover|Life of Pi|The Jungle Book,has_tags_inv
2502,which films are about [historical epic],Gladiator,has_tags_inv
2503,what movies can be described with [shelley long],The Money Pit,has_tags_inv
2504,what movies can be described by [wilfred jackson],Cinderella,has_tags_inv
2505,which films can be described by [denis villeneuve],Prisoners|Enemy|Incendies|Polytechnique,has_tags_inv
2506,what films are about [val lewton],Cat People|I Walked with a Zombie|The Curse of the Cat People|The Seventh Victim|Isle of the Dead|Bedlam|The Ghost Ship,has_tags_inv
2507,what movies can be described by [paul rudd],"Knocked Up|Role Models|I Love You, Man|Clueless|This Is 40|Dinner for Schmucks|Our Idiot Brother|Wanderlust|The Object of My Affection|I Could Never Be Your Woman|The Shape of Things",has_tags_inv
2508,what movies can be described by [irvine welsh],Trainspotting|Filth,has_tags_inv
2509,which movies can be described by [golden fleece],Jason and the Argonauts,has_tags_inv
2510,what movies are about [uwe boll],Alone in the Dark|House of the Dead|BloodRayne|Postal|Far Cry,has_tags_inv
2511,what movies can be described by [peter sarsgaard],Green Lantern|Garden State|Flightplan|An Education|The Skeleton Key|Boys Don't Cry|Kinsey|Shattered Glass,has_tags_inv
2512,what movies are about [chris smith],Collapse,has_tags_inv
2513,what movies can be described by [paul morrissey],Blood for Dracula|Heat,has_tags_inv
2514,what movies are about [shanghai],"Her|Lust, Caution",has_tags_inv
2515,which movies are about [josé padilha],Elite Squad|Bus 174,has_tags_inv
2516,what movies can be described by [harold becker],Mercury Rising|Sea of Love|Domestic Disturbance|City Hall|The Onion Field,has_tags_inv
2517,what films can be described by [jennifer jason leigh],Fast Times at Ridgemont High|The Hitcher|Single White Female|The Anniversary Party,has_tags_inv
2518,which movies are about [hector babenco],Carandiru|Pixote,has_tags_inv
2519,which movies can be described by [jeanne moreau],Elevator to the Gallows|Viva Maria!|Mademoiselle,has_tags_inv
2520,which movies are about [ron underwood],Tremors|City Slickers|Mighty Joe Young|Heart and Souls,has_tags_inv
2521,what films can be described by [korean],Oldboy|Snowpiercer|Failan,has_tags_inv
2522,which films are about [caper],The Sting|Sneakers|The Brothers Bloom|The Italian Job,has_tags_inv
2523,which films can be described by [u.s. army],Green Zone,has_tags_inv
2524,what movies can be described with [atom egoyan],Chloe|The Sweet Hereafter|Exotica|Ararat|Felicia's Journey,has_tags_inv
2525,what films are about [yoshiaki kawajiri],Ninja Scroll,has_tags_inv
2526,what films are about [game],Jumanji|Battle Royale|Sleuth|13 Sins|Would You Rather,has_tags_inv
2527,what films can be described by [foxes],Fantastic Mr. Fox,has_tags_inv
2528,what movies can be described with [alberta],Interstellar,has_tags_inv
2529,what films are about [double agent],Tinker Tailor Soldier Spy,has_tags_inv
2530,what movies can be described by [delorean],Back to the Future Part II,has_tags_inv
2531,what movies are about [martin donovan],Trust|Apartment Zero,has_tags_inv
2532,what movies are about [mika kaurismäki],The Worthless|Zombie and the Ghost Train,has_tags_inv
2533,which movies are about [riley steele],Piranha 3D,has_tags_inv
2534,what movies can be described with [flying saucers],Earth vs. the Flying Saucers,has_tags_inv
2535,what films are about [haneke],Funny Games|The Piano Teacher|Code Unknown|Time of the Wolf,has_tags_inv
2536,which movies are about [director],The Social Network,has_tags_inv
2537,what films are about [charlie kaufman],"Eternal Sunshine of the Spotless Mind|Being John Malkovich|Confessions of a Dangerous Mind|Synecdoche, New York|Human Nature",has_tags_inv
2538,which films are about [caribbean],Live and Let Die,has_tags_inv
2539,which movies are about [howard zieff],My Girl|The Dream Team,has_tags_inv
2540,what movies can be described by [art direction],Avatar|Memoirs of a Geisha|Black Narcissus,has_tags_inv
2541,which films can be described by [michael hoffman],One Fine Day|The Last Station|Soapdish|Restless Natives,has_tags_inv
2542,which films can be described by [shane meadows],This Is England|Dead Man's Shoes|Somers Town|A Room for Romeo Brass|Once Upon a Time in the Midlands,has_tags_inv
2543,which movies can be described by [kirsten dunst],Eternal Sunshine of the Spotless Mind|Spider-Man|Spider-Man 2|Spider-Man 3|Jumanji|Melancholia|The Virgin Suicides|Anastasia|Small Soldiers|Bring It On|Mona Lisa Smile|Elizabethtown|Wimbledon|All Good Things|Drop Dead Gorgeous|Crazy/Beautiful|Get Over It,has_tags_inv
2544,which movies are about [craig r. baxley],Bad Day on the Block,has_tags_inv
2545,what films are about [hugh dancy],Confessions of a Shopaholic|Ella Enchanted|Martha Marcy May Marlene|Adam|Hysteria,has_tags_inv
